target_queue_length,conflicting_volume,time_since_last_phase,num_conflicting_lanes,downstream_lane_length,clearance_distance,label
0.0,0.0,33.471918373137626,5.0,75.71,17.5,1
0.0,0.0,37.526650118033864,9.0,8.76,31.5,1
0.0,0.0,39.707596148718906,4.0,97.64,14.0,1
0.0,0.0,39.65586220231919,8.0,18.28,28.0,1
0.0,0.0,25.664511543824144,7.0,186.65,24.5,0
0.0,0.0,14.382347302036509,5.0,325.16,17.5,0
0.0,0.0,45.85220387559978,6.0,227.9,21.0,0
1.0,0.0,41.99099564313134,2.0,38.0,7.0,0
0.0,2.0,19.389272403119246,3.0,80.62,10.5,1
0.0,0.0,8.400035853467413,9.0,31.94,31.5,1
0.0,1.0,2.224018000175825,7.0,186.65,24.5,0
0.0,2.0,4.8635511329322645,14.0,87.48,49.0,0
0.0,0.0,43.420639259466185,2.0,38.0,7.0,0
0.0,0.0,20.239776370859598,7.0,143.36,24.5,0
0.0,0.0,51.61799328914237,3.0,54.83,10.5,0
0.0,0.0,31.026343745596463,3.0,169.25,10.5,0
0.0,0.0,11.850078333873343,3.0,55.57,10.5,0
0.0,0.0,46.267838459856584,2.0,40.16,7.0,0
0.0,0.0,7.278840007160455,2.0,55.52,7.0,0
0.0,0.0,33.122750199206244,3.0,55.57,10.5,0
0.0,0.0,33.75150321671001,6.0,218.29,21.0,1
1.0,1.0,59.37439663610957,8.0,19.56,28.0,1
0.0,0.0,32.93272540541085,16.0,123.6,56.0,1
1.0,0.0,24.015422144342658,2.0,97.26,7.0,0
0.0,2.0,20.76039116260518,2.0,117.25,7.0,0
0.0,0.0,50.2866059088398,2.0,105.05,7.0,0
2.0,2.0,12.98702809502052,2.0,58.61,7.0,0
0.0,0.0,25.30740964043712,13.0,10.18,45.5,1
1.0,0.0,41.251157994512816,12.0,34.18,42.0,0
3.0,2.0,15.958076479427525,5.0,34.68,17.5,1
0.0,0.0,34.092426039044476,2.0,51.09,7.0,0
3.0,12.0,55.11877651966217,22.0,26.15,77.0,1
0.0,0.0,22.136443165502644,2.0,82.5,7.0,1
0.0,5.0,18.802037365416794,10.0,41.22,35.0,0
0.0,0.0,37.09030519050246,3.0,229.02,10.5,1
0.0,13.0,54.20425083128156,34.0,23.21,119.0,1
0.0,11.0,51.56958203228489,6.0,109.22,21.0,1
0.0,0.0,46.76147974959414,6.0,6.09,21.0,1
0.0,0.0,25.61957425888852,9.0,13.26,31.5,1
1.0,0.0,31.69825831153983,5.0,2.64,17.5,1
0.0,3.0,39.42093659073403,3.0,125.19,10.5,1
0.0,7.0,36.181664969061146,23.0,31.59,80.5,1
0.0,0.0,5.846586699992907,3.0,218.57,10.5,1
0.0,0.0,17.38874870236229,5.0,2.64,17.5,1
0.0,2.0,18.542600328623546,9.0,102.88,31.5,1
0.0,0.0,31.28924333497806,2.0,105.03,7.0,0
0.0,8.0,41.77167311220037,13.0,110.3,45.5,0
0.0,0.0,8.295866555148464,2.0,117.89,7.0,0
0.0,0.0,43.070109993717985,5.0,113.2,17.5,0
0.0,1.0,8.919666225027404,2.0,199.31,7.0,0
0.0,2.0,42.565527431599946,3.0,54.83,10.5,0
0.0,0.0,16.03535408399071,5.0,2.64,17.5,1
3.0,20.0,24.538784304500723,34.0,23.21,119.0,1
